time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,NekRS_pressureDrop,mFlow_deadend,mFlow_out2,mFlow_out6,p_inlet_interface,p_outlet_interface,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity
26,0.045710324551519,15020650.573597,547.61641738505,0.020911865400338,1.6647271013275,15019815.980508,547.63217418956,0.76161700429347,10.863,1.6099130721707,1.6593582492078,0.045710324551519,15019826.843508,15019815.980508,547.61641738505,0.020911865400338,15000078.053409,768.66470659215,550.2081117209,0.76312601188991,15011915.285413,769.04550103682,549.98506286764,0.76312601916222,15004355.919006,769.5209345046,549.70657957759,0.022415721297464,15012499.613968,774.45472436511,546.81663150719,0.020911987373059
27,-0.91165296216852,15019826.84351,547.61641762783,-0.41706910274552,0.045710324551577,15017473.928013,547.61641738413,0.020911865400322,10.863,0.95343176364918,0.048692783654622,-0.91165296216852,15017484.791013,15017473.928013,547.61641762783,-0.41706910274552,14999978.647351,770.19642021582,549.31091647013,0.43799569720615,15010497.294967,767.95968015352,550.62107819363,0.022425096578901,15003951.769688,773.0414036073,547.64447860088,0.41557069533184,15011892.642835,773.4120505479,547.42737360835,0.41706910271006
28,0.78306551530927,15017484.7909,547.51754487573,0.35816385410512,-0.91165296216617,15018002.026287,547.61641762899,-0.41706910274551,10.863,-1.6901398290189,-0.90772850094176,0.78306551530927,15018012.889287,15018002.026287,547.51754487573,0.35816385410512,14999901.042256,769.14304889694,549.92792459097,0.77730800409524,15010824.6914,768.69994791161,550.18746925617,0.41764497291736,15003545.673396,771.11061237289,548.77543199776,0.3596630310459,15010515.070569,774.88653150463,546.5637021679,0.35816385406693
29,1.5291888940383,15018012.852306,547.25347583736,0.69902331672673,0.78306551536709,15020399.698242,547.51754480586,0.35816385407632,10.863,-0.74112822389379,0.78061355896371,1.5291888940383,15020410.561242,15020399.698242,547.25347583736,0.69902331672673,14999888.302998,768.95424800828,550.0385139714,0.70052984911135,15012245.665159,767.58881968714,550.83830825805,0.35967941831341,15003481.385765,769.56475844639,549.68090987547,0.70052984889458,15010737.530783,773.92713342595,547.12566583166,0.69902331720257
30,0.1170780837177,15020410.561274,547.2334231798,0.053516403158693,1.5291888940382,15019705.087783,547.25347583743,0.6990233167268,10.863,1.4030120671873,1.5235411318489,0.1170780837177,15019715.950783,15019705.087783,547.2334231798,0.053516403158693,15000051.28625,768.66374790874,550.20867326595,0.70053089933536,15011834.317083,769.19247307039,549.89897457511,0.70053089932302,15004255.145689,769.45693469706,549.74406721398,0.05501956618937,15012326.004357,774.90916482849,546.55044478717,0.053516403320593
31,-0.71584424116399,15019715.95172,547.23350000669,-0.32721252591849,0.11707808371437,15017647.756526,547.23342318122,0.05351640315734,10.863,0.82831505364957,0.11953001246487,-0.71584424116399,15017658.619526,15017647.756526,547.23350000669,-0.32721252591849,14999981.145436,769.65867661957,549.62589767369,0.38074272126894,15010591.82032,768.25612790562,550.44743508491,0.055027409687571,15003931.471927,772.80797180154,547.78121036605,0.32571542131628,15011825.526016,774.12674179785,547.00874601028,0.32721245080307
32,0.74747070989646,15017658.619935,547.13972009464,0.34159830650476,-0.71584424115939,15018115.764845,547.23350000887,-0.32721252591797,10.863,-1.4575591591144,-0.71131023878822,0.74747070989646,15018126.627845,15018115.764845,547.13972009464,0.34159830650476,14999914.959541,769.09259623481,549.95747704004,0.67034240837957,15010884.11935,768.76487694552,550.14943732908,0.32724548623554,15003545.619319,770.84941721503,548.92842603759,0.3430969140989,15010599.809369,775.44635928656,546.23578523915,0.34159830646639
33,1.4085824690846,15018126.637037,546.92896382689,0.6434309399722,0.74747070991979,15020186.396453,547.13972008996,0.3415983065119,10.863,-0.65627383501983,0.74483146385891,1.4085824690846,15020197.259453,15020186.396453,546.92896382689,0.6434309399722,14999902.444418,768.92795507715,550.05391495274,0.64493710294305,15012110.967085,767.76876670091,550.73290500012,0.34311184849512,15003516.738582,769.47377114335,549.73420533156,0.64493710300531,15010810.155331,774.2943101403,546.91059351056,0.64343093972476
34,0.18156449059231,15020197.25304,546.90195384338,0.082932491513998,1.4085824690326,15019595.862106,546.9289638548,0.64343093998803,10.863,1.2182998746225,1.4030448153513,0.18156449059231,15019606.725106,15019595.862106,546.90195384338,0.082932491513998,15000030.221965,768.69886995609,550.1881006644,0.64493679771873,15011757.305987,769.41832357134,549.76668352951,0.64493679772224,15004170.240865,769.32742415093,549.81992750869,0.084436105171992,15012173.95681,775.11843052651,546.42786822487,0.082932531708598
35,-0.53443939273896,15019606.725077,546.90195091466,-0.2441137579946,0.18156449059163,15017806.044811,546.9019538438,0.082932491513762,10.863,0.71117794418458,0.18351709538347,-0.53443939273896,15017816.907811,15017806.044811,546.90195091466,-0.2441137579946,14999983.201747,769.18230926058,549.90492798686,0.32705800045306,15010678.507111,768.65374200429,550.21453418526,0.084441107212019,15003908.863238,772.27996668404,548.09048729386,0.24261694066503,15011757.145095,774.6172149736,546.72145327023,0.24411375906286
36,0.72073312155288,15017816.908013,546.82689810544,0.32915193655069,-0.53443939273957,15018224.878951,546.9019509142,-0.24411375799463,10.863,-1.2487054637774,-0.52971827987855,0.72073312155288,15018235.741951,15018224.878951,546.82689810544,0.32915193655069,14999927.499768,769.03595761942,549.99065288698,0.57428902366182,15010941.872452,768.9678965411,550.03051939681,0.24363792355653,15003551.610604,770.40156131838,549.19075587346,0.33065109947965,15010679.230094,775.74018356556,546.06367881952,0.32915193652419
37,1.2935363983726,15018235.744103,546.69392771106,0.59057261095043,0.72073312156879,15019997.620539,546.82689813565,0.32915193657988,10.863,-0.56840849855988,0.71810044028158,1.2935363983726,15020008.483539,15019997.620539,546.69392771106,0.59057261095043,14999914.793837,768.91598915478,550.06092394486,0.59207902889032,15011991.460532,768.0806270283,550.55023403584,0.33066369908508,15003550.040656,769.32193077487,549.82314523219,0.59207902896034,15010879.583974,774.44381727806,546.82302029068,0.59057261088663
38,0.23138311225772,15020008.487656,546.67188160514,0.10563436023725,1.293536398345,15019492.730318,546.69392772219,0.59057261095235,10.863,1.0541747054443,1.2884804317827,0.23138311225772,15019503.593318,15019492.730318,546.67188160514,0.10563436023725,15000015.372054,768.79464591772,550.13200027031,0.59207710975553,15011687.411315,769.67555649376,549.61601035355,0.59207710976163,15004098.841105,769.18105553739,549.90566235031,0.10713872575798,15012041.505674,775.1085900429,546.43363224958,0.1056343669024
39,-0.37874438572428,15019503.593284,546.67190834668,-0.17290986730528,0.23138311226578,15017949.341655,546.6718815999,0.10563436023971,10.863,0.60558569800702,0.23297392703331,-0.37874438572428,15017960.204655,15017949.341655,546.67190834668,-0.17290986730528,14999984.99697,768.949645425,550.04120991652,0.27855330116114,15010758.424917,769.05794336314,549.97777482378,0.10714117287026,15003886.204109,771.64041989143,548.46509932061,0.17141213381804,15011691.509735,774.81923634718,546.60312004258,0.17290985537066
40,0.69184096755953,15017960.204685,546.62668320315,0.31581777377738,-0.37874438572438,15018323.542258,546.67190834648,-0.17290986730525,10.863,-1.064040998033,-0.37419591999019,0.69184096755953,15018334.405258,15018323.542258,546.62668320315,0.31581777377738,14999938.559383,769.00298065218,550.00996901627,0.4893604484562,15010994.56011,769.25801589872,549.86058312035,0.17204226667223,15003563.368064,769.93167156481,549.46599195466,0.31731818172234,15010754.249265,775.77596016547,546.04272281636,0.31581777376854
41,1.1826058063646,15018334.394599,546.57090490489,0.53978016877341,0.69184096746315,15019833.05357,546.62668325142,0.31581777376698,10.863,-0.48696650280463,0.68944291465779,1.1826058063646,15019843.91657,15019833.05357,546.57090490489,0.53978016877341,14999926.469969,768.94805809525,550.0421396887,0.54128710915354,15011888.389281,768.41999995008,550.35144767725,0.31732755935507,15003581.045211,769.18342417424,549.90427493056,0.54128710915512,15010943.206433,774.44134387305,546.82446907796,0.53978016904566
42,0.26621743084449,15019843.911152,546.56108947222,0.12150775978437,1.1826058064303,15019401.294617,546.57090488755,0.53978016878276,10.863,0.90941127936262,1.1782409590372,0.26621743084449,15019412.157617,15019401.294617,546.56108947222,0.12150775978437,15000005.802601,768.95982179026,550.03524915046,0.5412839802672,15011627.784265,769.86943955454,549.50244411072,0.54128398013799,15004039.819891,769.08207677407,549.96363877293,0.12301298075066,15011928.298596,774.97324088537,546.51291248803,0.12150776096797
43,-0.25200891278307,15019412.157567,546.56098432613,-0.11502263862773,0.26621743085313,15018076.923724,546.56108946142,0.12150775978542,10.863,0.51428608649516,0.26759143834598,-0.25200891278307,15018087.786724,15018076.923724,546.56098432613,-0.11502263862773,14999986.67056,768.98417816934,550.02098249689,0.23653691361224,15010831.30733,769.35761323079,549.80224437351,0.12301330773682,15003866.051954,771.09186021739,548.78641599933,0.11352360540004,15011633.529238,774.80561846046,546.61109666634,0.11502266378689
44,0.65898813305823,15018087.786734,546.54726818265,0.30076818535796,-0.25200891278293,15018407.898951,546.5609843263,-0.11502263862771,10.863,-0.90487957843147,-0.24779383600498,0.65898813305823,15018418.761951,15018407.898951,546.54726818265,0.30076818535796,14999948.023162,769.01160939902,550.00491476164,0.41616091587948,15011040.467482,769.50089766101,549.71831608018,0.11389102627395,15003579.169124,769.57591352914,549.67437582948,0.30226988958714,15010824.236439,775.67701296452,546.10068075144,0.30076818535068
45,1.0796401222738,15018418.744943,546.54266069658,0.49275258229071,0.65898813311391,15019691.582255,546.54726815402,0.3007681853644,10.863,-0.41743915243264,0.65693904575016,1.0796401222738,15019702.445255,15019691.582255,546.54266069658,0.49275258229071,14999937.034475,769.03475913581,549.99135489406,0.49425991771882,15011801.301424,768.64997849165,550.21673864804,0.3022766457379,15003608.373687,769.11667436128,549.94337337184,0.49425990954214,15010998.544481,774.40060655442,546.84833080266,0.49275258226024
46,0.2914476724485,15019702.452084,546.54473830646,0.13301863053757,1.0796401222538,15019323.496399,546.54266071278,0.49275258229913,10.863,0.78228971654367,1.0759497528603,0.2914476724485,15019334.359399,15019323.496399,546.54473830646,0.13301863053757,14999999.624624,769.15919199094,549.91846883694,0.49425610987424,15011578.542012,769.92439770444,549.47025258985,0.49425610953462,15003991.398864,769.06556434003,549.97331086644,0.1345244330616,15011832.820561,774.83582467018,546.59340349741,0.13301863057639
