"BP_Line: Position[Y] (m)","BP_Line: Temperature (C)"
0.033299999999999996,225.1152882798662
0.0336,225.17021924391895
0.0339,225.22566527876478
0.0342,225.271827563214
0.0345,225.31718211296595
0.0348,225.36222103534277
0.0351,225.40698188638714
0.035399999999999994,225.45179406550898
0.035699999999999996,225.5018677745382
0.036,225.54798776225277
0.0363,225.58801520686876
0.0366,225.62793703074937
0.036899999999999995,225.66759091895472
0.0372,225.70704576152292
0.0375,225.7479575724949
0.0378,225.79185403973577
0.0381,225.8302301519352
0.0384,225.86565630219462
0.0387,225.90090217318493
0.039,225.93591424166902
0.0393,225.97088435027024
0.0396,226.00866780685766
0.0399,226.04688881500346
0.0402,226.07880494683485
0.0405,226.11019994854655
0.0408,226.14139950943428
0.041100000000000005,226.17242660448017
0.0414,226.20351005266355
0.0417,226.23828188718784
0.042,226.27037668467972
0.0423,226.29828702359987
0.04259999999999999,226.32614286734128
0.042899999999999994,226.35382661975711
0.043199999999999995,226.38138488807056
0.0435,226.40997569915748
0.0438,226.4406801161515
0.04409999999999999,226.4675705517251
0.044399999999999995,226.4924245545585
0.0447,226.51716490216666
0.045,226.54175049163302
0.0453,226.5663133959822
0.045599999999999995,226.59285928641958
0.045899999999999996,226.61973429384324
0.0462,226.64221259001715
0.0465,226.66433726204565
0.0468,226.6863311703845
0.047099999999999996,226.70820824457428
0.0474,226.73012778714383
0.0477,226.75465048283894
0.048,226.7773055840625
0.0483,226.7970282794147
0.0486,226.8167189975028
0.0489,226.83629213397666
0.0492,226.8557785383307
0.0495,226.87599414690044
0.049800000000000004,226.897706220852
0.0501,226.91673634832114
0.0504,226.93433666794613
0.0507,226.9518605677472
0.051000000000000004,226.9692766535792
0.051300000000000005,226.9866761650556
0.05159999999999999,227.00547665413592
0.051899999999999995,227.02451253894804
0.052199999999999996,227.04044624642052
0.0525,227.05613421018143
0.05279999999999999,227.07173130600904
0.053099999999999994,227.08724576158465
0.053399999999999996,227.1027884803351
0.0537,227.12017181809938
0.054,227.13623497846106
0.054299999999999994,227.15022612925463
0.054599999999999996,227.1641968993473
0.0549,227.17808504259762
0.0552,227.19191072096606
0.0555,227.2062500243939
0.055799999999999995,227.2216472082606
0.0561,227.23514560711743
0.0564,227.2476335461846
0.0567,227.26006847337885
0.056999999999999995,227.272426639287
0.0573,227.2847711324299
0.0576,227.29810500953408
0.0579,227.31160331984665
0.0582,227.32290446621852
0.058499999999999996,227.3340330006481
0.0588,227.34509732022457
0.0591,227.35610216359032
0.0594,227.36712469394655
0.0597,227.37944742071375
0.06,227.39083286456685
0.0603,227.40075115098784
0.0606,227.4106556339209
0.0609,227.42050128811735
0.06119999999999999,227.43030120929723
0.06149999999999999,227.44046177835025
0.061799999999999994,227.45136793192592
0.062099999999999995,227.4609280808125
0.0624,227.46977308376796
0.06269999999999999,227.47858058128236
0.063,227.48733287900524
0.0633,227.49607360463722
0.06359999999999999,227.50551106396028
0.0639,227.51506132171147
0.0642,227.52305574017186
0.0645,227.53092791958665
0.0648,227.53875408452143
0.06509999999999999,227.54653692700947
0.0654,227.55433001945386
0.0657,227.56303771010886
0.066,227.57107949437307
0.0663,227.5780834723227
0.06659999999999999,227.58507704800382
0.0669,227.59202806784992
0.0672,227.59894497615034
0.0675,227.60611306159075
0.0678,227.61380248757098
0.0681,227.62053931865836
0.0684,227.62677027182337
0.0687,227.63297351670923
0.069,227.63913622417624
0.0693,227.64528848622803
0.0696,227.6519269504882
0.0699,227.65863966528303
0.0702,227.66425453680603
0.0705,227.66978151716393
0.07079999999999999,227.6752745309126
0.0711,227.68073512779495
0.07139999999999999,227.686200143698
0.0717,227.6923008059868
0.072,227.69792896319757
