sam,,overlap,,decomp,
X,Y,X,Y,X,Y
65.45592604820072,28852.54886219779,,,77.18653020798943,23877.636088554045
66.20468801584681,28901.17948559607,,,78.6840541432816,23906.814462593014
66.9534499834929,28949.810108994345,,,80.18157807857378,23921.403649612497
67.70221195113898,28988.714607712966,,,81.67910201386596,23935.99283663198
68.45097391878507,29042.208293451073,,,83.17662594915814,23950.582023651463
69.19973588643116,29085.97585450952,,,84.67414988445032,23965.171210670946
69.94849785407725,29120.017290888314,,,86.17167381974248,23965.171210670946
70.69725982172334,29163.784851946766,,,87.66919775503466,23989.486522370084
71.44602178936942,29202.689350665387,,,89.16672169032684,23994.34958470991
72.19478375701551,29231.867724704352,,,90.66424562561902,23999.21264704974
72.9435457246616,29275.6352857628,,,92.16176956091118,24023.527958748877
73.6923076923077,29304.813659801766,,,93.65929349620336,24023.527958748877
74.44106965995377,29333.992033840732,,,95.15681743149554,24023.527958748877
75.18983162759986,29372.896532559356,,,96.65434136678772,24023.527958748877
75.93859359524595,29392.348781918667,,,98.15186530207988,24023.527958748877
76.68735556289204,29426.39021829746,,,99.5869924067349,24023.527958748877
77.43611753053813,29450.705529996598,,,,
78.18487949818422,29475.020841695736,,,,
78.9336414658303,29504.199215734705,,,,
79.6824034334764,29528.514527433843,,,,
80.43116540112248,29552.82983913298,,,,
81.17992736876856,29567.419026152464,,,,
81.92868933641465,29586.871275511774,,,,
82.67745130406074,29620.912711890567,,,,
83.42621327170683,29625.775774230395,,,,
84.17497523935292,29640.364961249878,,,,
84.92373720699901,29684.13252230833,,,,
85.6724991746451,29684.13252230833,,,,
86.42126114229119,29688.995584648157,,,,
87.17002310993728,29727.900083366778,,,,
87.91878507758335,29742.48927038626,,,,
88.66754704522944,29742.48927038626,,,,
89.41630901287553,29757.078457405743,,,,
90.16507098052162,29771.667644425226,,,,
90.91383294816771,29791.11989378454,,,,
91.6625949158138,29800.846018464195,,,,
92.41135688345989,29810.57214314385,,,,
93.16011885110598,29830.02439250316,,,,
93.90888081875205,29830.02439250316,,,,
94.65764278639814,29849.47664186247,,,,
95.40640475404423,29859.202766542126,,,,
96.15516672169032,29859.202766542126,,,,
96.90392868933641,29873.79195356161,,,,
97.6526906569825,29888.381140581092,,,,
98.40145262462859,29888.381140581092,,,,
99.15021459227468,29893.24420292092,,,,
99.81162099702871,29894.216815388885,,,,
