time,SAM_dudt,coupled_nekdP,dP,inlet_P,inlet_S03,inlet_V,m_in_main,m_in_side,m_out_main,m_out_side,nekRS_accelGradPres,nekRS_posGradPres,outlet_P,outlet_S03,outlet_V
30.745000000056,-1.4307736388968e-05,667.05560761196,492.28142787612,134.28142787612,0.037430945462159,0.42484075137101,-0.83001747988693,-0.82935009404453,0.82852476583034,0.83128196839497,-0.014272839819916,667.04133477214,-358,0.07498917850728,0.42496473083721
30.750000000056,4.9964519189052e-05,666.53079600959,491.94143074931,133.94143074931,0.037274155168608,0.42484079051998,-0.83001747988693,-0.82935017046893,0.82852781640576,0.83127975314061,0.04984265572675,666.58063866532,-358,0.074845988877708,0.42496006875536
30.755000000056,8.1734491073167e-05,666.27033956162,491.77260125629,133.77260125629,0.037117815042283,0.42484119203804,-0.83001747988693,-0.82935095428979,0.82853349844848,0.83127619307301,0.081535140649439,666.35187470227,-358,0.074700706993239,0.42495482219088
30.760000000056,5.843029499097e-05,666.44157238667,491.88181562374,133.88181562375,0.036961925192191,0.42484157859721,-0.83001747988693,-0.82935170890875,0.82854102341331,0.83127125418379,0.058287783501487,666.49986017017,-358,0.074553095380996,0.42494908331503
30.765000000056,2.5552721744382e-05,666.79229617453,492.11644765549,134.11644765549,0.036806485806108,0.42484177578533,-0.83001747988693,-0.82935209384824,0.82854977837345,0.8312650218522,0.025490398656048,666.81778657319,-358,0.074403068774693,0.42494297605949
30.770000000056,-1.5446104760661e-06,666.97229568976,492.22933937017,134.22933937017,0.036651497104064,0.4248418375802,-0.83001747988693,-0.82935221448069,0.82855995012876,0.83125718635388,-0.001540843171115,666.97075484659,-358,0.074250710918121,0.42493637838884
30.775000000056,5.2061791344652e-06,666.94135974042,492.21147839239,134.21147839239,0.036496959222642,0.42484184091533,-0.83001747988693,-0.82935222099136,0.82857165981814,0.83124715519177,0.0051934812635562,666.94655322169,-358,0.074096273888797,0.42492897406906
30.780000000056,1.0982635229432e-05,666.84784340236,492.14671531435,134.14671531435,0.036342872297489,0.42484191750689,-0.83001747988693,-0.82935237050906,0.82858541086474,0.83123475415473,0.010955848582108,666.85879925095,-358,0.073940163380835,0.42492061718551
30.785000000056,8.4328081389696e-07,666.95944985059,492.22161702926,134.22161702926,0.036189236424929,0.42484189929784,-0.83001747988693,-0.82935233496238,0.82860051056265,0.83122021254919,0.00084122405199186,666.96029107464,-358,0.073782909092658,0.42491133994726
30.790000000056,-1.0895882508279e-06,666.96778083276,492.22634236311,134.22634236311,0.036036051700634,0.42484191653341,-0.83001747988693,-0.82935236860869,0.82861613661188,0.83120433082156,-0.0010869307450842,666.96669390202,-358,0.073625123940134,0.424901457613
30.795000000056,-7.294838173354e-05,667.51685694721,492.57866161371,134.57866161371,0.035883318249724,0.42484172420152,-0.83001747988693,-0.82935199314926,0.82863107545809,0.83118762552114,-0.072770460630492,667.44408648658,-358,0.073467457174585,0.42489115085458
30.800000000056,2.9570429527075e-05,666.71738429515,492.06412000177,134.06412000177,0.035731036193809,0.4248416340961,-0.83001747988693,-0.82935181725054,0.82864441544739,0.83117139619108,0.029498307249458,666.7468826024,-358,0.073310544604555,0.42488102493603
30.805000000056,1.6798489414754e-05,666.87739913118,492.17280933511,134.17280933512,0.035579205462376,0.42484180140947,-0.83001747988693,-0.82935214387025,0.82865582413748,0.83115684289102,0.016757517899071,666.89415664908,-358,0.073154954496354,0.42487166589892
30.810000000056,1.349935299898e-05,666.81824087352,492.12672125579,134.12672125579,0.035427826131237,0.42484175387801,-0.83001747988693,-0.82935205108202,0.82866438628452,0.83114449763755,0.013466428077016,666.83170730159,-358,0.073001131456135,0.4248633506722
30.815000000056,3.5681100058573e-05,666.65331729129,492.02133680084,134.02133680084,0.035276898240101,0.42484193825259,-0.83001747988693,-0.82935241100764,0.82867088250365,0.83113555165116,0.03559407385553,666.68891136514,-358,0.072849343755,0.42485671737954
30.820000000056,6.5634693471202e-05,666.44246567001,491.88777880477,133.88777880477,0.0351264217513,0.42484220834768,-0.83001747988693,-0.829352938272,0.82867556366891,0.83113037268588,0.065474610453826,666.50794028046,-358,0.072699643800229,0.42485199611966
30.825000000056,2.9828502136777e-05,666.75263369665,492.09032431518,134.09032431518,0.034976396661617,0.42484239778927,-0.83001747988693,-0.82935330808916,0.82867813010723,0.83112875763685,0.029755750420066,666.78238944707,-358,0.072551849942666,0.42484912239764
30.830000000056,-3.115590493315e-05,667.21899188123,492.3896029266,134.3896029266,0.034826823046345,0.42484242497863,-0.83001747988693,-0.82935336116669,0.82867858450335,0.83112996394504,-0.031079915681018,667.18791196555,-358,0.07240555822438,0.42484773816567
30.835000000056,-3.6322714325673e-05,667.18741731699,492.36249682197,134.36249682197,0.034677700950832,0.42484220750994,-0.83001747988693,-0.82935293663661,0.82867709174995,0.83113314054938,-0.036234123225432,667.15118319377,-358,0.07226018825122,0.42484740207261
30.840000000056,2.3537338376221e-05,666.73152587014,492.07011498225,134.07011498225,0.034529030383437,0.42484224620242,-0.83001747988693,-0.82935301216989,0.82867378111527,0.831138217344,0.023479930807921,666.75500580094,-358,0.072115060201429,0.42484804078522
30.845000000056,5.5217125556503e-05,666.47953490082,491.9074666803,133.9074666803,0.0343808112333,0.42484244876968,-0.83001747988693,-0.82935340761024,0.82866910892689,0.83114474467462,0.05508245098727,666.53461735181,-358,0.071969490554151,0.42484936032687
30.850000000056,8.3032170900415e-05,666.23795478518,491.74965641374,133.74965641374,0.034233043364832,0.42484282612992,-0.83001747988693,-0.82935414427157,0.82866374586125,0.83115240799081,0.082829655435589,666.32078444062,-358,0.071822888784295,0.42485112035008
30.855000000056,6.4635556699197e-05,666.41567061278,491.86726828292,133.86726828292,0.03408572672027,0.42484325278357,-0.83001747988693,-0.8293549771607,0.82865804396186,0.8311602869443,0.064477910576408,666.48014852335,-358,0.071674838103833,0.42485277028095
30.860000000056,4.718748367479e-05,666.55525944095,491.95744046816,133.95744046816,0.033938861270085,0.42484353619216,-0.83001747988693,-0.82935553041492,0.82865220774992,0.83116671641824,0.047072393402107,666.60233183435,-358,0.071525143363345,0.42485339272749
30.865000000056,6.9963566273857e-05,666.37338915365,491.83998677401,133.83998677401,0.033792446947189,0.42484387008416,-0.83001747988693,-0.82935618222001,0.82864745914758,0.83117074178171,0.069792925135715,666.44318207879,-358,0.071373835304979,0.42485245747525
30.870000000056,1.4319786592058e-05,666.88678054968,492.17790805189,134.17790805189,0.033646483650738,0.42484419366512,-0.83001747988693,-0.82935681389647,0.82864380312416,0.83117226276567,0.01428486063256,666.90106541031,-358,0.07122113165458,0.42484990028757
30.875000000056,-0.00010572479820558,667.78414518742,492.7517920679,134.7517920679,0.033500971406325,0.42484393871165,-0.83001747988693,-0.82935631619072,0.82864046930172,0.83117164180916,-0.10546693542275,667.678678252,-358,0.071067364584326,0.42484592501682
30.880000000056,-0.00018979604414436,668.47784523843,493.20185395339,135.20185395339,0.03335591029895,0.42484317558736,-0.83001747988693,-0.82935482646262,0.82863760051003,0.83117003893422,-0.18933313159269,668.28851210684,-358,0.070912895011947,0.42484117510754
30.885000000056,-0.00021768712014682,668.6829120447,493.33266115383,135.33266115383,0.03321130034611,0.42484215622834,-0.83001747988693,-0.82935283652759,0.82863579053162,0.83116821466137,-0.21715618126078,668.46575586344,-358,0.070758036947852,0.42483612178616
30.890000000056,-0.00019805784108718,668.52411702898,493.22992048042,135.22992048042,0.033067141518673,0.4248410903419,-0.83001747988693,-0.82935075576434,0.82863537652338,0.8311662862849,-0.19757477801277,668.32654225097,-358,0.070603010051537,0.424830936204
30.895000000057,-0.00012735499952431,667.9528247366,492.86035450621,134.86035450621,0.032923433592616,0.42484025586352,-0.83001747988693,-0.82934912674283,0.828637370882,0.83116399379696,-0.12704438068047,667.82578035592,-358,0.070447927053262,0.42482561602766
30.900000000057,-8.4000354959295e-05,667.64490601123,492.66502622372,134.66502622372,0.032780176335686,0.42483971405406,-0.83001747988693,-0.82934806905303,0.82864208414703,0.83116072813177,-0.08379547809355,667.56111053314,-358,0.070292810086874,0.42481998600924
30.905000000057,-9.0181509720749e-05,667.7135424014,492.71112977445,134.71112977445,0.032637369538927,0.42483929951102,-0.83001747988693,-0.82934725980555,0.82864946274257,0.83115562906738,-0.08996155701854,667.62358084438,-358,0.070137624896675,0.42481373078703
30.910000000057,-7.0893999504699e-05,667.46944770595,492.54518569514,134.54518569514,0.032495013041093,0.42483876199656,-0.83001747988693,-0.82934621050022,0.82865863285837,0.83114825607974,-0.070721089039907,667.39872661691,-358,0.069982318914791,0.42480672136198
30.915000000057,9.0731896325153e-05,666.19707891189,491.72515831226,133.72515831227,0.032353106592342,0.42483887326918,-0.83001747988693,-0.82934642772032,0.8286695960298,0.83113954311165,0.090510601230016,666.28758951312,-358,0.069826851997173,0.42479949059506
30.920000000057,7.0675162766488e-05,666.46628261732,491.90906671835,133.90906671835,0.032211649803726,0.42483930758602,-0.83001747988693,-0.8293472755691,0.82868155985463,0.83112942021527,0.070502786044501,666.53678540337,-358,0.069671208970564,0.42479201275722
30.925000000057,7.865984369945e-07,666.980379947,492.23702186489,134.23702186489,0.032070642517717,0.42483941498333,-0.83001747988693,-0.82934748522406,0.82869347419987,0.83111733247486,0.00078467992340667,666.98116462692,-358,0.069515391915279,0.42478396769201
30.930000000057,-3.1576675172799e-05,667.21000587638,492.38266141455,134.38266141455,0.03193008462169,0.42483934623486,-0.83001747988693,-0.82934735101718,0.8287051451263,0.83110390534934,-0.031499659662052,667.17850621672,-358,0.069359398007923,0.42477559451755
30.935000000057,-2.526233506253e-05,667.18453696202,492.36851383158,134.36851383158,0.031789975940822,0.42483927234509,-0.83001747988693,-0.82934720677376,0.82871649103071,0.83109031392546,-0.025200720227312,667.15933624179,-358,0.069203194659163,0.42476737764752
30.940000000057,-9.1208420542377e-05,667.69285680068,492.69510762913,134.69510762913,0.031650316276297,0.4248389475742,-0.83001747988693,-0.82934657277439,0.82872632336777,0.83107752448092,-0.090985963204674,667.60187083747,-358,0.06904670720034,0.42475967241893
30.945000000057,-0.00011967082674831,667.94839518257,492.86274260736,134.86274260736,0.031511105506771,0.42483838314615,-0.83001747988693,-0.82934547092986,0.82873392925325,0.8310668112984,-0.11937894960188,667.82901623297,-358,0.068889828639633,0.42475298699877
30.950000000057,-9.8571050164699e-05,667.71446838567,492.70563671609,134.70563671609,0.031372343442771,0.42483778004392,-0.83001747988693,-0.82934429358779,0.82873894676768,0.83105922177197,-0.098330635373347,667.6161377503,-358,0.068732453796054,0.42474773146206
30.955000000057,-3.4566475866971e-05,667.24318874886,492.404949506,134.404949506,0.031234029750981,0.4248375423195,-0.83001747988693,-0.82934382951561,0.82874170448372,0.83105548043645,-0.034482168232332,667.20870658063,-358,0.068574531014711,0.42474419281756
30.960000000057,-0.00012083703810271,667.99774807307,492.89830683137,134.89830683137,0.0310961641297,0.42483717307192,-0.83001747988693,-0.82934310869136,0.82874253945367,0.83105504161409,-0.12054231656677,667.8772057565,-358,0.068416115408882,0.42474207339599
