"ILW_Line: Temperature (C)","ILW_Line: Position[X] (m)"
259.42822075243555,0.368
259.2541976297108,0.3685
259.1913455495834,0.369
259.0414190984966,0.3695
258.9866980372227,0.37
258.85562591306063,0.3705
258.8073425698625,0.371
258.6910689645106,0.3715
258.6479113880272,0.372
258.54339854071975,0.3725
258.5043720917845,0.373
258.409361548923,0.3735
258.37369403950254,0.374
258.2863595808111,0.3745
258.2534429765011,0.375
258.17239763579005,0.3755
258.1417769710107,0.376
258.06603493895545,0.3765
258.03737913261693,0.377
257.96623448966614,0.3775
257.93928502103677,0.378
257.87212117044294,0.3785
257.84667148585436,0.379
257.78303858710456,0.3795
257.75894902303696,0.38
257.698611408377,0.3805
257.6757740730377,0.381
257.6184428354021,0.3815
257.5967522654614,0.382
257.5421690073217,0.3825
257.52153998889116,0.383
257.4695195273317,0.3835
257.4498991582635,0.384
257.4003668802209,0.3845
257.38172452650974,0.385
257.3346122848096,0.3855
257.3169295062495,0.386
257.27221059470537,0.3865
257.25550478814193,0.387
257.2133208931941,0.3875
257.1976444588238,0.388
257.15818190217317,0.3885
257.1435822747611,0.389
257.10694294988116,0.3895
257.0934351278903,0.39
257.0595910511033,0.3905
257.04718399841227,0.391
257.01620179058784,0.3915
257.0049166608177,0.392
256.97685090961056,0.3925
256.96670308942294,0.393
256.94157622145633,0.3935
256.9325800923366,0.394
256.91043182286694,0.3945
256.90261869941776,0.395
256.8835712981746,0.3955
256.876998316206,0.396
256.8612522073074,0.3965
256.85598006591897,0.397
256.8436798826864,0.3975
256.8397336264028,0.398
256.8308466317752,0.3985
256.8281958406361,0.399
256.82244911364376,0.3995
256.8212370617007,0.4
256.819709500043,0.40049999999999997
256.8202244275685,0.401
256.823592608083,0.40149999999999997
256.82594915970424,0.402
256.83412841006134,0.40249999999999997
256.8383365351975,0.403
256.8513168170664,0.40349999999999997
256.8575664326561,0.404
256.87651790049813,0.40449999999999997
256.88490461627316,0.405
256.90919597334505,0.40549999999999997
256.9196622999974,0.406
256.9494377361797,0.4065
256.9620988568155,0.40700000000000003
256.99791729672575,0.4075
257.0128918183698,0.40800000000000003
257.0549211649966,0.4085
257.07220808842146,0.40900000000000003
257.1202390382151,0.4095
257.1398084672352,0.41000000000000003
257.1938835709236,0.4105
257.21566546286317,0.41100000000000003
257.2753664973329,0.4115
257.29920141782213,0.41200000000000003
257.36401415781256,0.4125
257.3897172089605,0.41300000000000003
257.4590732789162,0.4135
257.48650076345155,0.41400000000000003
257.56014404026666,0.4145
257.5892105163996,0.41500000000000004
257.6669204486785,0.4155
257.6975783495303,0.41600000000000004
257.77930330167317,0.4165
257.81153587157746,0.41700000000000004
257.89722069693835,0.4175
257.93101876555215,0.41800000000000004
258.02061571316244,0.4185
258.056000077229,0.41900000000000004
258.1495955713784,0.4195
258.1866465672274,0.42000000000000004
