time,Branch_in:massflow,Branch_in:pressure,Branch_in:temperature,Branch_in:velocity,Branch_out:massflow,Branch_out:pressure,Branch_out:temperature,Branch_out:velocity,NekRS_pressureDrop,fromNekRS_velocity,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_outlet_interface,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,pres_inlet_interface,temp_interface,toNekRS_velocity,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0.105,1.8840645488871,-4556.6037123261,0.99979148320407,0.24047311267647,1.832741575791,-23127.130693333,1,0.23392249045945,-21020.004526112,0.2339224904939,1.8840645498582,1.8840645488871,1.8327415762023,-0.051322973892644,-23127.130693333,-2235.4245957948,-3408.5141525316,-3383.5141537984,-4556.6037123261,-23127.130693333,-2233.8745702981,-2206.6028785266,-44147.135219445,1,0.24047311267647,-0.0065506223186821,-2235.4032011341,997.561,0.99999999141094,0.24047312341377,-3383.5141464747,25,997.561,1.0003148809887,0.2404731128488
0.11,2.710464986975,-44147.135219571,0.99999790182209,0.34595096680922,1.8724899556323,-1006.9308704774,1,0.23899578618595,1023.8720735229,0.2389957861859,2.7104649869686,2.710464986975,1.8724899556326,-0.83797503134023,-1006.9308704774,-2057.3549831095,-23114.745115149,-23089.745102561,-44147.135219571,-1006.9308704774,-2026.1497803241,-2003.3653083519,16.941203045541,1,0.34595096680922,-0.10695518062297,-2057.3549923944,997.561,0.9962669993047,0.34595096680859,-23089.745100499,25,997.561,1.0006730135927,0.34595096680884
0.115,2.7478648752971,16.941199766792,1.0002471062704,0.35072451215505,2.6894901506781,22744.317729633,1,0.3432738376338,20949.143128625,0.34327383756542,2.7478648752922,2.7478648752971,2.6894901515354,-0.058374725838478,22744.317729633,1923.9080144239,957.9245794447,982.92458160999,16.941199766792,22744.317729633,1926.4870765908,1985.2341526746,43693.460858258,1,0.35072451215505,-0.0074506746768875,1923.9080124952,997.561,0.99999999120647,0.35072451241976,982.92458229275,25,997.561,1.0013632307573,0.3507245127861
0.12,1.9325409135261,43693.460860813,0.99977277963778,0.24666040721628,2.7319024042214,3222.3957692364,1,0.34868713763523,1107.160389094,0.34868713762383,1.9325409135653,1.9325409135261,2.7319024039214,0.79936149084111,3222.3957692364,2159.2119518908,22913.836423514,22938.836429965,43693.460860813,3222.3957692364,2128.9153437623,2184.3664022159,4329.5561583304,1,0.24666040721628,0.10202673043756,2128.9153438162,997.561,0.99999999648661,0.34868713764746,22938.83643111,25,997.561,1.0009607584167,0.24666040726258
0.125,1.8129439710967,4329.5561906631,0.99955351872323,0.23139561757329,1.9264275905515,-22280.479096542,1,0.24588013150579,-20627.369171274,0.24588013154919,1.81294396969,1.8129439710967,1.9264275910801,0.11348362191305,-22280.479096542,-1773.1719197018,1265.6921241695,1290.6921101592,4329.5561906631,-22280.479096542,-1776.6200682208,-1746.569894163,-42907.848267816,1,0.23139561757329,0.014484514246261,-1776.620042654,997.561,1.0000000136664,0.24588013178951,1290.6921241011,25,997.561,1.0006782773788,0.23139561745001
0.13,2.6084995617088,-42907.848278077,0.99945174274459,0.33293658085646,1.8028402062476,-5502.419851439,1,0.23010602068318,-3161.9956394139,0.23010602067398,2.6084995616279,2.6084995617088,1.8028402061202,-0.80565935538242,-5502.419851439,-2390.7536922367,-22661.801007467,-22636.800997298,-42907.848278077,-5502.419851439,-2361.8753039063,-2340.7396548823,-8664.4154908528,1,0.33293658085646,-0.10283056016322,-2390.7536902827,997.561,0.99999972847562,0.33293658087805,-22636.800998667,25,997.561,1.0002947461913,0.33293658084564
0.135,2.8066734965999,-8664.4154887245,0.99956326941932,0.3582305672025,2.5882569224351,21454.029968016,1,0.33035290585561,20138.199539271,0.33035290585159,2.8066734976512,2.8066734965999,2.5882569220369,-0.21841657307336,21454.029968016,1431.7649615309,-3628.8252488838,-3603.8252724694,-8664.4154887245,21454.029968016,1441.3396354141,1495.385390975,41592.229507287,1,0.3582305672025,-0.027877661207576,1431.7649584064,997.561,0.99999992879388,0.35823056675707,-3603.8252568464,25,997.561,1.0000365479482,0.35823056719467
0.14,2.0380967154391,41592.229523139,0.99968458136663,0.26013305190995,2.7893597771444,7545.7949119998,1,0.35602072571276,5173.0567899167,0.35602072569125,2.0380967154413,2.0380967154391,2.789359777332,0.7512630615071,7545.7949119998,2440.2456316406,22003.73756948,22028.737566648,41592.229523139,7545.7949119998,2410.7769070657,2469.4117036834,12718.851701917,1,0.26013305190995,0.095887673777517,2410.7769086732,997.561,1.0000000043314,0.35602072570077,22028.737574765,25,997.561,0.99988204977392,0.26013305190926
0.145,1.7639178548959,12718.851720281,0.99981341883812,0.22513815533708,2.031134264557,-20565.480986566,1,0.25924439751832,-19415.200403613,0.25924439757424,1.7639178549032,1.7639178548959,2.0311342630098,0.26721640868862,-20565.480986566,-1257.2932153132,5718.2792500644,5743.2792461125,12718.851720281,-20565.480986566,-1265.5332943346,-1232.591628304,-39980.68139018,1,0.22513815533708,0.03410624205712,-1265.5332992339,997.561,1.0000000073189,0.25924439740407,5743.2792528235,25,997.561,0.99978862215347,0.22513815548874
0.15,2.4975827530466,-39980.681386262,0.99999869464592,0.31877968254695,1.7551024812732,-9614.6737509501,1,0.2240130026263,-7068.3869145004,0.22401300263572,2.4975827528657,2.4975827530466,1.7551024812521,-0.74248027159843,-9614.6737509501,-2617.5183146303,-21311.599831175,-21286.599850397,-39980.681386262,-9614.6737509501,-2591.8617021821,-2571.3114040063,-16683.06066545,1,0.31877968254695,-0.094766679898316,-2617.5183055421,997.561,0.99999985320918,0.31877968255727,-21286.599851591,25,997.561,0.99970015258667,0.31877968251838
