"OLW_Line: Temperature (C)","OLW_Line: Position[X] (m)"
309.3236622110951,0.42400000000000004
309.6896578972867,0.4245
309.93754550487256,0.42500000000000004
310.29650643590367,0.4255
310.53946151095715,0.42600000000000005
310.8909875106916,0.4265
311.128738484182,0.42700000000000005
311.4724266245645,0.4275
311.70470039160136,0.42800000000000005
312.0401428325415,0.4285
312.2666637007378,0.42900000000000005
312.5934444413208,0.4295
312.81392850634325,0.43000000000000005
313.1316185262326,0.4305
313.34577177997915,0.43100000000000005
313.65391988783267,0.4315
313.8614328465467,0.43200000000000005
314.159554919843,0.4325
314.3600906648911,0.43300000000000005
314.6476542980612,0.4335
314.8408399113091,0.43400000000000005
315.1172428295846,0.4345
315.3026498668838,0.43500000000000005
315.5671917775454,0.4355
315.7443115547412,0.43600000000000005
315.9961560252125,0.4365
316.1643709849476,0.43700000000000006
316.40249498844037,0.4375
316.5610370289669,0.438
316.78416672721687,0.4385
316.93206719870534,0.439
317.13859772303726,0.4395
317.2746217586607,0.44
317.4625223174073,0.4405
317.58509053681473,0.441
317.751791325928,0.4415
317.8588910291787,0.442
318.0011500513449,0.4425
318.0902225815486,0.443
318.2039613291564,0.4435
318.2717530555261,0.444
318.3518162827527,0.4445
318.3941288656339,0.445
318.43384229178014,0.4455
318.4449922202085,0.446
318.43510510750923,0.4465
318.40650674884944,0.447
318.33215374795805,0.4475
318.24824331220464,0.448
318.07958838030095,0.4485
317.9055874327321,0.449
317.5688532645571,0.4495
317.12116662950723,0.45
226.83793608239597,0.25
226.84877494807205,0.2505
226.86005060555306,0.251
226.87177857577979,0.2515
226.88397451114065,0.252
226.89665428550575,0.2525
226.9098342606552,0.253
226.92353175438808,0.2535
226.93776571182906,0.254
226.9525575715773,0.2545
226.96793233282256,0.255
226.98391986608573,0.2555
227.00055656184742,0.256
227.01788748098556,0.2565
227.0359692745596,0.257
227.05487431596248,0.2575
227.07469681153248,0.258
227.09556229670022,0.2585
227.11764329984135,0.259
227.14118721296808,0.2595
227.1665711047154,0.26
227.19442481572003,0.2605
227.2259570215985,0.261
227.2639887458992,0.2615
227.21991454016444,0.262
227.41453080731776,0.2625
227.49012560724793,0.263
227.55436178202189,0.2635
227.61178713528176,0.264
227.66464780249652,0.2645
227.7142154958084,0.265
227.7613054644304,0.2655
227.8062913506119,0.266
227.84958395379533,0.2665
227.89148411867473,0.267
227.93223003519216,0.2675
227.97194586109572,0.268
228.01079151170484,0.2685
228.04889812153618,0.269
228.0863800526414,0.2695
228.1233054705445,0.27
228.15976300492076,0.2705
228.19583062230214,0.271
228.23158051011245,0.2715
228.26705824982866,0.272
228.3023253932958,0.2725
228.33743841264976,0.273
228.37245172056777,0.2735
228.40739892140584,0.274
228.44232932699998,0.2745
228.47728950806584,0.275
228.51232622580466,0.2755
228.54746012329844,0.276
228.58273536619862,0.2765
228.61819396969992,0.277
228.65387962570094,0.2775
228.6898008694763,0.278
228.7259998180309,0.27849999999999997
228.76251651382574,0.279
228.79939410954216,0.27949999999999997
228.83662693809663,0.28
228.87425802433847,0.28049999999999997
228.91232792393777,0.281
228.95088215478745,0.2815
228.98989561162938,0.28200000000000003
229.02941487332015,0.2825
229.06948297058204,0.28300000000000003
229.11014986856685,0.2835
229.15136870006967,0.28400000000000003
229.19319088048292,0.2845
229.23566292695767,0.285
229.27884034128851,0.2855
229.32265328045133,0.286
229.3671589860254,0.2865
229.4124083004872,0.287
229.45846323005543,0.2875
229.50522964633046,0.28800000000000003
229.55277163087055,0.2885
229.60114521051077,0.28900000000000003
229.6504198661782,0.2895
