"BP_Line: Position[Y] (m)","BP_Line: Temperature (C)"
0.12299999999999998,227.5261826095424
0.12329999999999999,227.52299251574135
0.12359999999999999,227.52299251574135
0.12389999999999998,227.51770452970237
0.12419999999999999,227.51770452970237
0.12449999999999999,227.51438103319026
0.1248,227.50888125756597
0.1251,227.50888125756597
0.12539999999999998,227.50542578964314
0.12569999999999998,227.50542578964314
0.126,227.49971532060704
0.1263,227.49612715589922
0.1266,227.49612715589922
0.12689999999999999,227.49020320593672
0.12719999999999998,227.49020320593672
0.1275,227.48647919373758
0.1278,227.48033473668994
0.1281,227.48033473668994
0.1284,227.4764691421886
0.12869999999999998,227.4764691421886
0.129,227.47009273789905
0.1293,227.46607720251842
0.1296,227.46607720251842
0.1299,227.45945305157528
0.13019999999999998,227.45945305157528
0.1305,227.45527665867996
0.1308,227.44838479139833
0.1311,227.44838479139833
0.1314,227.44403418588547
0.13169999999999998,227.44403418588547
0.132,227.43685069446036
0.1323,227.432310226546
0.1326,227.432310226546
0.1329,227.42480753021937
0.13319999999999999,227.42480753021937
0.1335,227.42005940799783
0.1338,227.4122065129813
0.1341,227.4122065129813
0.1344,227.40723097020935
0.1347,227.40723097020935
0.135,227.39899380556483
0.0087,208.21230617256742
0.009,209.58600054173405
0.0093,211.18725144996688
0.0096,211.18725144996688
0.0099,212.03418756474855
0.0102,212.03418756474855
0.0105,213.18526827008264
0.010799999999999999,214.19046536350334
0.011099999999999999,214.19046536350334
0.011399999999999999,214.7517019747179
0.0117,214.7517019747179
0.012,215.54393871672323
0.0123,215.99689790784169
0.0126,215.99689790784169
0.012899999999999998,216.6577894116794
0.013199999999999998,216.6577894116794
0.0135,217.0387143476333
0.0138,217.6013947199835
0.0141,217.6013947199835
0.0144,217.92765475423
0.0147,217.92765475423
0.015,218.41303659528813
0.015299999999999998,218.6965301558359
0.0156,218.6965301558359
0.015899999999999997,219.12160097322754
0.0162,219.12160097322754
0.0165,219.37126117624285
0.0168,219.74797459681497
0.0171,219.74797459681497
0.0174,219.97026667177556
0.017699999999999997,219.97026667177556
0.018,220.30753555736788
0.0183,220.50730241373128
0.0186,220.50730241373128
0.0189,220.81183703578307
0.0192,220.81183703578307
0.0195,220.9927566777992
0.0198,221.26969287588116
0.0201,221.26969287588116
0.0204,221.4345828356125
0.0207,221.4345828356125
0.021,221.68783624361703
0.021299999999999996,221.83886584923079
0.021599999999999998,221.83886584923079
0.0219,222.0714586683011
0.022199999999999998,222.0714586683011
0.0225,222.21033754722401
0.022799999999999997,222.42469783412383
0.0231,222.42469783412383
0.0234,222.5528178916938
0.0237,222.5528178916938
0.024,222.75095383655582
0.0243,222.8694746885837
0.0246,222.8694746885837
0.024900000000000002,223.05307690229336
0.0252,223.05307690229336
0.025500000000000002,223.16297596466728
0.025799999999999997,223.33347185485854
0.026099999999999998,223.33347185485854
0.026399999999999996,223.43558150791398
0.026699999999999998,223.43558150791398
0.027,223.59419767794617
0.027299999999999998,223.68923890286322
0.0276,223.68923890286322
0.027899999999999998,223.8370487393895
0.0282,223.8370487393895
0.028499999999999998,223.92565636418584
0.0288,224.0636148776839
0.0291,224.0636148776839
0.0294,224.14635302358153
0.0297,224.14635302358153
0.03,224.2753109479085
0.0303,224.3526811326737
0.030599999999999995,224.3526811326737
0.030899999999999997,224.47339444862666
0.0312,224.47339444862666
0.0315,224.54584223225635
0.031799999999999995,224.65898257792952
0.0321,224.65898257792952
0.0324,224.72690411259236
0.0327,224.72690411259236
0.033,224.83306895344248
0.033299999999999996,224.896817140388
0.0336,224.896817140388
0.0339,224.9965392807498
0.0342,224.9965392807498
0.0345,225.0564293680211
0.0348,225.15018548083458
0.0351,225.15018548083458
0.035399999999999994,225.20649988156885
0.035699999999999996,225.20649988156885
0.036,225.29471747887914
0.0363,225.34770982643812
0.0366,225.34770982643812
0.036899999999999995,225.43077321590135
0.0372,225.43077321590135
0.0375,225.4806723953572
0.0378,225.55892989669633
0.0381,225.55892989669633
0.0384,225.60594342207577
0.0387,225.60594342207577
