"temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
673.08,1,0.1848,1.1316e-17,1,0.1848
673.26,1,0.1856,1.1365e-17,1,0.1856
673.44,1,0.1864,1.1414e-17,1,0.1864
673.62,1,0.1872,1.1463e-17,1,0.1872
673.79,1,0.188,1.1512e-17,1,0.188
673.97,1,0.1888,1.1561e-17,1,0.1888
674.15,1,0.1896,1.161e-17,1,0.1896
674.33,1,0.1904,1.1659e-17,1,0.1904
674.5,1,0.1912,1.1708e-17,1,0.1912
674.68,1,0.192,1.1757e-17,1,0.192
674.86,1,0.1928,1.1806e-17,1,0.1928
675.04,1,0.1936,1.1855e-17,1,0.1936
675.21,1,0.1944,1.1904e-17,1,0.1944
675.39,1,0.1952,1.1953e-17,1,0.1952
675.57,1,0.196,1.2002e-17,1,0.196
675.75,1,0.1968,1.2051e-17,1,0.1968
675.93,1,0.1976,1.21e-17,1,0.1976
676.1,1,0.1984,1.2148e-17,1,0.1984
676.28,1,0.1992,1.2197e-17,1,0.1992
676.46,1,0.2,1.2246e-17,1,0.2
676.64,1,0.2008,1.2295e-17,1,0.2008
676.83,1,0.2016,1.2344e-17,1,0.2016
677.02,1,0.2024,1.2393e-17,1,0.2024
677.2,1,0.2032,1.2442e-17,1,0.2032
677.39,1,0.204,1.2491e-17,1,0.204
677.57,1,0.2048,1.254e-17,1,0.2048
677.76,1,0.2056,1.2589e-17,1,0.2056
677.94,1,0.2064,1.2638e-17,1,0.2064
678.13,1,0.2072,1.2687e-17,1,0.2072
678.32,1,0.208,1.2736e-17,1,0.208
678.5,1,0.2088,1.2785e-17,1,0.2088
678.69,1,0.2096,1.2834e-17,1,0.2096
678.87,1,0.2104,1.2883e-17,1,0.2104
679.06,1,0.2112,1.2932e-17,1,0.2112
679.24,1,0.212,1.2981e-17,1,0.212
679.43,1,0.2128,1.303e-17,1,0.2128
679.61,1,0.2136,1.3079e-17,1,0.2136
679.8,1,0.2144,1.3128e-17,1,0.2144
679.99,1,0.2152,1.3177e-17,1,0.2152
680.17,1,0.216,1.3226e-17,1,0.216
680.36,1,0.2168,1.3275e-17,1,0.2168
680.54,1,0.2176,1.3324e-17,1,0.2176
680.73,1,0.2184,1.3373e-17,1,0.2184
680.91,1,0.2192,1.3422e-17,1,0.2192
681.1,1,0.22,1.3471e-17,1,0.22
681.29,1,0.2208,1.352e-17,1,0.2208
681.47,1,0.2216,1.3569e-17,1,0.2216
681.66,1,0.2224,1.3618e-17,1,0.2224
681.84,1,0.2232,1.3667e-17,1,0.2232
682.03,1,0.224,1.3716e-17,1,0.224
682.21,1,0.2248,1.3765e-17,1,0.2248
682.4,1,0.2256,1.3814e-17,1,0.2256
682.59,1,0.2264,1.3863e-17,1,0.2264
682.77,1,0.2272,1.3912e-17,1,0.2272
682.96,1,0.228,1.3961e-17,1,0.228
683.14,1,0.2288,1.401e-17,1,0.2288
683.33,1,0.2296,1.4059e-17,1,0.2296
683.51,1,0.2304,1.4108e-17,1,0.2304
683.7,1,0.2312,1.4157e-17,1,0.2312
683.89,1,0.232,1.4206e-17,1,0.232
684.07,1,0.2328,1.4255e-17,1,0.2328
684.26,1,0.2336,1.4304e-17,1,0.2336
684.44,1,0.2344,1.4353e-17,1,0.2344
684.63,1,0.2352,1.4402e-17,1,0.2352
684.81,1,0.236,1.4451e-17,1,0.236
685,1,0.2368,1.45e-17,1,0.2368
685.19,1,0.2376,1.4549e-17,1,0.2376
685.37,1,0.2384,1.4598e-17,1,0.2384
685.56,1,0.2392,1.4647e-17,1,0.2392
685.74,1,0.24,1.4696e-17,1,0.24
685.94,1,0.2408,1.4745e-17,1,0.2408
686.13,1,0.2416,1.4794e-17,1,0.2416
686.32,1,0.2424,1.4843e-17,1,0.2424
686.51,1,0.2432,1.4892e-17,1,0.2432
686.71,1,0.244,1.4941e-17,1,0.244
686.9,1,0.2448,1.499e-17,1,0.2448
687.09,1,0.2456,1.5039e-17,1,0.2456
687.29,1,0.2464,1.5088e-17,1,0.2464
687.48,1,0.2472,1.5137e-17,1,0.2472
687.67,1,0.248,1.5186e-17,1,0.248
687.86,1,0.2488,1.5235e-17,1,0.2488
688.06,1,0.2496,1.5284e-17,1,0.2496
688.25,1,0.2504,1.5333e-17,1,0.2504
688.44,1,0.2512,1.5382e-17,1,0.2512
688.63,1,0.252,1.5431e-17,1,0.252
688.83,1,0.2528,1.548e-17,1,0.2528
689.02,1,0.2536,1.5529e-17,1,0.2536
689.21,1,0.2544,1.5578e-17,1,0.2544
689.41,1,0.2552,1.5626e-17,1,0.2552
689.6,1,0.256,1.5675e-17,1,0.256
689.79,1,0.2568,1.5724e-17,1,0.2568
689.98,1,0.2576,1.5773e-17,1,0.2576
690.18,1,0.2584,1.5822e-17,1,0.2584
690.37,1,0.2592,1.5871e-17,1,0.2592
690.56,1,0.26,1.592e-17,1,0.26
690.76,1,0.2608,1.5969e-17,1,0.2608
690.95,1,0.2616,1.6018e-17,1,0.2616
691.14,1,0.2624,1.6067e-17,1,0.2624
691.33,1,0.2632,1.6116e-17,1,0.2632
691.53,1,0.264,1.6165e-17,1,0.264
691.72,1,0.2648,1.6214e-17,1,0.2648
691.91,1,0.2656,1.6263e-17,1,0.2656
692.11,1,0.2664,1.6312e-17,1,0.2664
692.3,1,0.2672,1.6361e-17,1,0.2672
692.49,1,0.268,1.641e-17,1,0.268
692.68,1,0.2688,1.6459e-17,1,0.2688
692.88,1,0.2696,1.6508e-17,1,0.2696
693.07,1,0.2704,1.6557e-17,1,0.2704
693.26,1,0.2712,1.6606e-17,1,0.2712
693.45,1,0.272,1.6655e-17,1,0.272
693.65,1,0.2728,1.6704e-17,1,0.2728
693.84,1,0.2736,1.6753e-17,1,0.2736
694.03,1,0.2744,1.6802e-17,1,0.2744
694.23,1,0.2752,1.6851e-17,1,0.2752
694.42,1,0.276,1.69e-17,1,0.276
694.61,1,0.2768,1.6949e-17,1,0.2768
694.8,1,0.2776,1.6998e-17,1,0.2776
695,1,0.2784,1.7047e-17,1,0.2784
695.19,1,0.2792,1.7096e-17,1,0.2792
695.38,1,0.28,1.7145e-17,1,0.28
695.58,1,0.2808,1.7194e-17,1,0.2808
