time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,SAM_dudt,SAM_velocity,coupled_nekdP,dP_overlap,mFlow_deadend,mFlow_out2,mFlow_out6,p_in,p_inlet_interface,p_out,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity,junction7toOverlap:pressure,junction7toOverlap:rho,junction7toOverlap:temperature,junction7toOverlap:velocity
20,1.0263934074,15018715.135251,549.17077095497,0.47117865133194,1.0422598295509,15018765.40357,549.10215001671,0.47838958640198,-0.013631812286567,0.47117865133194,9.35,5.3871653918177,0.01566923646505,1.0422742895218,1.02664132119,15018720.522416,15018765.40357,15018715.135251,549.06176941913,0.47117865132981,14999910.292597,768.27221450473,550.43801242254,0.47990598955645,15011220.682678,768.12870127145,550.52207473637,0.47990598955474,15003659.079001,768.30979227034,550.41600139364,0.47269411408054,15011184.463531,770.77119534978,548.97424418853,0.47117865132821,15018720.522426,770.62177013985,549.06176941951,0.47117865132968
21,0.98488125755267,15018765.403588,549.13709521298,0.45208824688533,1.0266413211949,15018799.560712,549.06176941897,0.47117865133185,-0.01406043985485,0.45208824688533,9.35,-7.6124701555818,0.041478111661269,1.0265731865589,0.98513146197598,15018757.791118,15018799.560712,15018765.403588,549.02244118849,0.45208824688326,14999915.232978,768.23424525935,550.46025275919,0.47269496253262,15011242.630187,768.09878968986,550.53959532803,0.47269496253307,15003674.154924,768.27437351532,550.43674779055,0.45360367056966,15011210.359943,770.82756294941,548.94122708801,0.45208824688443,15018757.791115,770.68891225569,549.02244118835,0.45208824688365
22,0.92961811323167,15018799.560712,549.10323480266,0.42668889364109,0.9851314619799,15018778.026014,549.0224411888,0.45208824688537,-0.022494003699626,0.42668889364109,9.35,-14.518149785697,0.055182430869101,0.98507613368915,0.92986036030209,15018785.042562,15018778.026014,15018799.560712,548.98561925795,0.42668889364106,14999921.714287,768.19477534577,550.48337210635,0.45360448038502,15011231.667762,768.06964193917,550.55666850874,0.45360448038764,15003686.718176,768.23856703125,550.45772129824,0.42820421464993,15011230.05555,770.90552060603,548.89556369624,0.42668889364069,15018785.042572,770.75177555321,548.98561925825,0.42668889363793
23,0.89563497497559,15018778.026024,549.06989677966,0.41106048364022,0.92986036030253,15018766.390159,548.98561925786,0.42668889364118,-0.019285124593216,0.41106048364022,9.35,-3.8268892690539,0.033954010134059,0.92985556704467,0.89587503143929,15018774.199135,15018766.390159,15018778.026024,548.94891353901,0.41106048363798,14999928.924051,768.15652492619,550.50577713967,0.42820511798048,15011226.948534,768.01867446991,550.58652250406,0.4282051179794,15003687.63286,768.20204485732,550.47911401845,0.41257572097,15011224.855718,770.98183100713,548.85086517793,0.4110604836357,15018774.199117,770.81444045206,548.94891353939,0.4110604836378
24,0.87441532639235,15018766.390167,549.03664867588,0.40129195850631,0.89587503144453,15018786.254937,548.94891353888,0.41106048364026,-0.011955486976624,0.40129195850631,9.35,2.5853881426156,0.021223333833297,0.89586015558472,0.87465806506233,15018768.975555,15018786.254937,15018766.390167,548.91133569741,0.40129195850314,14999934.214367,768.11924834611,550.52761175033,0.41257669011119,15011240.476556,767.9689692079,550.61563716644,0.41257669011046,15003689.231486,768.16532947064,550.50061991227,0.40280715921456,15011222.76551,771.04237252782,548.81540321951,0.40129195850312,15018768.975557,770.87859426083,548.91133569739,0.40129195850295
25,0.84493284544035,15018786.254937,549.00325272428,0.38773299563207,0.8746580650692,15018798.718882,548.91133569747,0.40129195850634,-0.011839515514679,0.38773299563207,9.35,-1.5643806103617,0.029456737034562,0.87460973750172,0.84517414854585,15018784.690556,15018798.718882,15018786.254937,548.87432459182,0.38773299562898,14999938.053607,768.08183340578,550.54952740496,0.40280810038589,15011249.016247,767.93462734253,550.63575277947,0.40280810038584,15003696.396737,768.1290698885,550.52185882038,0.38924815238071,15011233.946657,771.10168626206,548.78066043218,0.38773299562935,15018784.690557,770.94178052354,548.8743245917,0.38773299562893
26,0.81225606392928,15018798.718887,548.96997665893,0.37271040681866,0.84517414855228,15018791.990056,548.87432459194,0.38773299563203,-0.014208565301422,0.37271040681866,9.35,-3.1677051857114,0.032635066297369,0.84513212498184,0.8124922868107,15018795.551182,15018791.990056,15018798.718887,548.83867567389,0.37271040681573,14999942.019026,768.04449530377,550.57139805185,0.38924907809909,15011246.077868,767.90086353993,550.65552979448,0.38924907809951,15003702.081346,768.09327954501,550.54282287378,0.37422549453427,15011241.993482,771.16830717225,548.7416374952,0.37271040681514,15018795.551199,771.00264122571,548.83867567397,0.37271040681552
27,0.78839449184928,15018791.990043,548.93700348853,0.36173490855194,0.8124922868175,15018789.413422,548.83867567371,0.3727104068187,-0.012421060623703,0.36173490855194,9.35,1.2616093344986,0.023843158983896,0.8124709987448,0.7886271372654,15018793.251653,15018789.413422,15018791.990043,548.80376747776,0.36173490854863,14999945.960268,768.00791601266,550.59282422823,0.37422646028732,15011245.651193,767.85906246384,550.68001461094,0.37422646028775,15003703.742718,768.0576742039,550.56367856276,0.36324993732779,15011241.442503,771.23281512689,548.70385221363,0.36173490854952,15018793.251653,771.06223735005,548.80376747776,0.36173490854873
28,0.76978508125898,15018789.413424,548.90435001846,0.3531709089872,0.78862713727243,15018797.654989,548.80376747783,0.36173490855191,-0.0093943169602969,0.3531709089872,9.35,3.9008983075619,0.018604499558808,0.788601058454,0.77001550003003,15018793.314322,15018797.654989,15018789.413424,548.76918930469,0.35317090898364,14999949.177353,767.97214000696,550.61377988333,0.36325092589113,15011251.468828,767.81883962127,550.70357498331,0.36325092589157,15003705.681744,768.0223436827,550.58437327705,0.3546859003466,15011242.195819,771.28972502965,548.67051746118,0.35317090898434,15018793.314316,771.12127005073,548.76918930474,0.35317090898376
29,0.74899111134935,15018797.654985,548.87204256575,0.3436062262899,0.77001550003774,15018802.780898,548.76918930471,0.35317090898719,-0.009018972252026,0.3436062262899,9.35,2.8045519888401,0.020777547736975,0.76997563382464,0.74921784814741,15018800.459537,15018802.780898,15018797.654985,548.73533941398,0.34360622628655,14999951.809955,767.93694758204,550.63439370827,0.35468687053227,15011255.197181,767.78567999617,550.72299810373,0.35468687053322,15003709.358204,767.9876054352,550.60472106936,0.34512117909369,15011247.369746,771.34486468707,548.63821962299,0.34360622628678,15018800.459537,771.17905941009,548.73533941403,0.34360622628675
