"OLW_Line: Temperature (C)","OLW_Line: Position[X] (m)"
277.89536001342447,0.377
277.89536001342447,0.3775
277.89536001342447,0.378
279.006544372133,0.3785
279.006544372133,0.379
279.006544372133,0.3795
279.006544372133,0.38
280.1486101989045,0.3805
280.1486101989045,0.381
280.1486101989045,0.3815
280.1486101989045,0.382
281.32278636374906,0.3825
281.32278636374906,0.383
281.32278636374906,0.3835
281.32278636374906,0.384
282.5298588501506,0.3845
282.5298588501506,0.385
282.5298588501506,0.3855
282.5298588501506,0.386
283.76899794896576,0.3865
283.76899794896576,0.387
283.76899794896576,0.3875
283.76899794896576,0.388
285.0399425550165,0.3885
285.0399425550165,0.389
285.0399425550165,0.3895
285.0399425550165,0.39
286.3419088036934,0.3905
286.3419088036934,0.391
286.3419088036934,0.3915
286.3419088036934,0.392
287.67233119076025,0.3925
287.67233119076025,0.393
287.67233119076025,0.3935
287.67233119076025,0.394
289.02930430150093,0.3945
289.02930430150093,0.395
289.02930430150093,0.3955
289.02930430150093,0.396
290.41042077115605,0.3965
290.41042077115605,0.397
290.41042077115605,0.3975
290.41042077115605,0.398
291.8114511233165,0.3985
291.8114511233165,0.399
291.8114511233165,0.3995
291.8114511233165,0.4
293.2290248255498,0.40049999999999997
293.2290248255498,0.401
293.2290248255498,0.40149999999999997
293.2290248255498,0.402
294.65942554665594,0.40249999999999997
294.65942554665594,0.403
294.65942554665594,0.40349999999999997
294.65942554665594,0.404
296.097239601616,0.40449999999999997
296.097239601616,0.405
296.097239601616,0.40549999999999997
296.097239601616,0.406
297.53818383040687,0.4065
297.53818383040687,0.40700000000000003
297.53818383040687,0.4075
297.53818383040687,0.40800000000000003
298.97784346623223,0.4085
298.97784346623223,0.40900000000000003
298.97784346623223,0.4095
298.97784346623223,0.41000000000000003
300.41028154635785,0.4105
300.41028154635785,0.41100000000000003
300.41028154635785,0.4115
300.41028154635785,0.41200000000000003
301.8308619070523,0.4125
301.8308619070523,0.41300000000000003
301.8308619070523,0.4135
301.8308619070523,0.41400000000000003
303.23492493801746,0.4145
303.23492493801746,0.41500000000000004
303.23492493801746,0.4155
303.23492493801746,0.41600000000000004
304.61637003516444,0.4165
304.61637003516444,0.41700000000000004
304.61637003516444,0.4175
304.61637003516444,0.41800000000000004
305.9703837774474,0.4185
305.9703837774474,0.41900000000000004
305.9703837774474,0.4195
305.9703837774474,0.42000000000000004
307.29213868388604,0.4205
307.29213868388604,0.42100000000000004
307.29213868388604,0.4215
307.29213868388604,0.42200000000000004
308.57546285616706,0.4225
308.57546285616706,0.42300000000000004
308.57546285616706,0.4235
308.57546285616706,0.42400000000000004
309.8154564175063,0.4245
309.8154564175063,0.42500000000000004
309.8154564175063,0.4255
309.8154564175063,0.42600000000000005
311.00728313506045,0.4265
311.00728313506045,0.42700000000000005
311.00728313506045,0.4275
311.00728313506045,0.42800000000000005
312.1449195447258,0.4285
312.1449195447258,0.42900000000000005
312.1449195447258,0.4295
312.1449195447258,0.43000000000000005
313.2233915720143,0.4305
313.2233915720143,0.43100000000000005
313.2233915720143,0.4315
313.2233915720143,0.43200000000000005
314.2373755988813,0.4325
314.2373755988813,0.43300000000000005
314.2373755988813,0.4335
314.2373755988813,0.43400000000000005
315.17950288341365,0.4345
315.17950288341365,0.43500000000000005
315.17950288341365,0.4355
315.17950288341365,0.43600000000000005
316.0412051686252,0.4365
316.0412051686252,0.43700000000000006
316.0412051686252,0.4375
316.0412051686252,0.438
316.8095320020657,0.4385
316.8095320020657,0.439
316.8095320020657,0.4395
316.8095320020657,0.44
317.4623533513733,0.4405
317.4623533513733,0.441
317.4623533513733,0.4415
317.4623533513733,0.442
317.9640947029154,0.4425
317.9640947029154,0.443
317.9640947029154,0.4435
317.9640947029154,0.444
318.255131827319,0.4445
318.255131827319,0.445
318.255131827319,0.4455
318.255131827319,0.446
318.2267918295222,0.4465
318.2267918295222,0.447
318.2267918295222,0.4475
318.2267918295222,0.448
317.59593605573286,0.4485
317.59593605573286,0.449
317.59593605573286,0.4495
317.59593605573286,0.45
