time,dP,inlet_P,inlet_V,outlet_P,outlet_V
4.4899999999999,204.12998586145,204.12998586145,0.17787060298955,0,0.17684651988754
4.4999999999999,761.09118067005,761.09118067005,0.18546075754675,0,0.18436431705717
4.5099999999999,-111.00248596739,-111.00248596739,0.18422009709839,0,0.18319288039451
4.5199999999999,-751.33552681858,-751.33552681858,0.17659948819418,0,0.17565090056866
4.5299999999999,48.098008433111,48.098008433111,0.17708458792917,0,0.17607509539241
4.5399999999999,763.76452728889,763.76452728889,0.18471433378705,0,0.18362061386174
4.5499999999999,43.912256631708,43.912256631708,0.18503405468829,0,0.18399193696948
4.5599999999999,-738.28739650728,-738.28739650728,0.17753227154177,0,0.17657873155732
4.5699999999999,-104.11763076632,-104.11763076632,0.17648283802405,0,0.17548696048002
4.5799999999999,735.41050136228,735.41050136228,0.18383929317033,0,0.18275121690819
4.5899999999999,191.90143503722,191.90143503722,0.18565214303735,0,0.18459659099147
4.5999999999999,-695.19416093146,-695.19416093146,0.17857242896173,0,0.17761145543593
4.6099999999999,-246.42397522539,-246.42397522539,0.17608584090779,0,0.17510220204158
4.6199999999999,678.2786679357,678.2786679357,0.1828782920498,0,0.18179853884281
4.6299999999999,327.15510960899,327.15510960899,0.18605830923735,0,0.18499132523628
4.6399999999999,-624.87207222286,-624.87207222286,0.17967600843851,0,0.17870550599925
4.6499999999999,-373.34643332436,-373.34643332436,0.17590502860428,0,0.17493171262725
4.6599999999999,595.71782069023,595.71782069023,0.18187604998198,0,0.18080672188833
4.6699999999999,444.58988832055,444.58988832055,0.18624579119916,0,0.18516958090348
4.6799999999999,-531.15149136622,-531.15149136622,0.18079807266448,0,0.17981616091149
4.6899999999999,-480.23336380622,-480.23336380622,0.17594263731401,0,0.17497710967991
4.6999999999999,491.99907322229,491.99907322229,0.18087745289172,0,0.17981988395514
4.7099999999999,540.02796395982,540.02796395982,0.18621704155958,0,0.18513384860579
4.7199999999999,-418.68781174853,-418.68781174853,0.18189451351299,0,0.18089962100696
4.7299999999999,-563.41729733334,-563.41729733334,0.17619188720248,0,0.17523119711708
4.7399999999999,372.10699431476,372.10699431476,0.17992563647645,0,0.17888050842516
4.7499999999999,610.33633246147,610.33633246147,0.18598323092544,0,0.18489545782673
4.7599999999999,-292.74066443927,-292.74066443927,0.18292376960038,0,0.18191493920467
4.7699999999999,-620.33125710268,-620.33125710268,0.17663750770144,0,0.17567871940961
4.7799999999999,241.51161821049,241.51161821049,0.17906022700083,0,0.17802785099843
4.7899999999999,653.51992656719,653.51992656719,0.18556344335837,0,0.18447379148391
4.7999999999999,-158.93564668532,-158.93564668532,0.18384841413494,0,0.1828255189372
4.8099999999999,-649.56997299496,-649.56997299496,0.1772566850462,0,0.17629713394551
4.8199999999999,105.93010252994,105.93010252994,0.17831588982642,0,0.1772962952666
4.8299999999999,668.76373531291,668.76373531291,0.18498366936745,0,0.18389507442582
4.8399999999999,-23.020946889122,-23.020946889122,0.18463659458056,0,0.18360031868878
4.8499999999999,-650.908923303,-650.908923303,0.17802029865042,0,0.17705763355758
4.8599999999999,-28.916328787742,-28.916328787742,0.17772112378499,0,0.17671394653467
4.8699999999999,656.42662065381,656.42662065381,0.18427555809103,0,0.18319087578974
4.8799999999999,109.37260711523,109.37260711523,0.1852632050785,0,0.1842147361842
4.8899999999999,-625.27106123776,-625.27106123776,0.17889440062039,0,0.17792637880688
4.8999999999999,-157.53609736696,-157.53609736696,0.17729737902692,0,0.17630159390582
4.9099999999999,617.98409244187,617.98409244187,0.18347497660318,0,0.1823965909631
4.9199999999999,232.95481361469,232.95481361469,0.18571069983994,0,0.18465143935368
4.9299999999999,-574.65190636251,-574.65190636251,0.17984176926955,0,0.17886621078974
4.9399999999999,-274.88657354795,-274.88657354795,0.17705839307013,0,0.17607232007596
4.9499999999999,555.92528988507,555.92528988507,0.18262032320042,0,0.18155007905569
4.9599999999999,342.97965504696,342.97965504696,0.18596945998747,0,0.18490104598564
4.9699999999999,-501.99969514393,-501.99969514393,0.18082346800285,0,0.17983845539534
4.9799999999999,-376.56538945832,-376.56538945832,0.17700982082934,0,0.17603135823494
4.9899999999999,473.61727105535,473.61727105535,0.18175081415783,0,0.18069011220171
4.9999999999999,435.42231056704,435.42231056704,0.18603788298257,0,0.18496225856887
5.0099999999999,-411.06052612554,-411.06052612554,0.18180048230416,0,0.18080458948001
5.0199999999999,-458.96558147435,-458.96558147435,0.17714929119868,0,0.17617617477047
5.0299999999999,375.13643560232,375.13643560232,0.1809048510938,0,0.17985475671418
5.0399999999999,507.11785695761,507.11785695761,0.18592215894475,0,0.18484159745455
5.0499999999999,-306.19590135187,-306.19590135187,0.18273532080951,0,0.18172770068367
5.0599999999999,-519.39333187472,-519.39333187472,0.17746680611134,0,0.1764966773451
5.0699999999999,265.07993634944,265.07993634944,0.18011852847573,0,0.17907963336951
5.0799999999999,555.8635657722,555.8635657722,0.18563581810368,0,0.1845526851826
5.0899999999999,-192.1825169527,-192.1825169527,0.18359357359326,0,0.18257383519198
5.0999999999999,-556.14907530547,-556.14907530547,0.1779454704095,0,0.17697585073071
5.1099999999999,148.35554529651,148.35554529651,0.17942425683384,0,0.17839658884286
5.1199999999999,580.47237675238,580.47237675238,0.18519891722399,0,0.18411551160527
5.1299999999999,-74.00412106707,-74.00412106707,0.18434518717589,0,0.18331336290243
5.1399999999999,-568.56170834837,-568.56170834837,0.17856239694122,0,0.17759082385225
5.1499999999999,29.970958649771,29.970958649771,0.17884954219521,0,0.17783264688621
5.1599999999999,580.78426912755,580.78426912755,0.18463694436723,0,0.18355550224765
5.1699999999999,43.358770290191,43.358770290191,0.18496548875878,0,0.1839221397005
5.1799999999999,-556.97913021788,-556.97913021788,0.17928981402862,0,0.17831405379372
5.1899999999999,-85.17403715778,-85.17403715778,0.1784160023291,0,0.17740907889849
5.1999999999999,557.63939307897,557.63939307897,0.18397957786756,0,0.18290227918817
5.2099999999999,155.13481474736,155.13481474736,0.18543601679459,0,0.1843822772237
5.2199999999999,-522.71768753579,-522.71768753579,0.18009638153405,0,0.17911457155643
5.2299999999999,-192.48450092963,-192.48450092963,0.17813868988478,0,0.17714067743417
5.2399999999999,512.80877652986,512.80877652986,0.18325933487144,0,0.18218821492128
5.2499999999999,256.94935017093,256.94935017093,0.18574507534696,0,0.18468252267417
5.2599999999999,-467.97463064714,-467.97463064714,0.18094862421298,0,0.17995924272825
5.2699999999999,-287.84546791546,-287.84546791546,0.17802576444925,0,0.17703525094815
5.2799999999999,448.88831254361,448.88831254361,0.18251019591737,0,0.18144689612835
5.2899999999999,344.98899135539,344.98899135539,0.1858880198686,0,0.18481842896156
5.2999999999999,-395.70644651655,-395.70644651655,0.18181242220271,0,0.18081417138155
5.3099999999999,-367.77611715579,-367.77611715579,0.17807841693199,0,0.17709358586031
5.3199999999999,369.1634589734,369.1634589734,0.1817661628319,0,0.1807118126409
5.3299999999999,416.13665208631,416.13665208631,0.18586718188601,0,0.18479243713453
5.3399999999999,-309.48520877922,-309.48520877922,0.18265437584427,0,0.1816462749588
5.3499999999999,-429.5501496173,-429.5501496173,0.17829100205539,0,0.17730979940828
5.3599999999999,277.44970097111,277.44970097111,0.18105980734707,0,0.18001507881363
5.3699999999999,468.07480484003,468.07480484003,0.18569148099168,0,0.18461359229744
5.3799999999999,-213.32755129271,-213.32755129271,0.18344312993875,0,0.1824246419095
5.3899999999999,-471.28046072912,-471.28046072912,0.17865150608263,0,0.17767183369122
5.3999999999999,177.91819034938,177.91819034938,0.18042098493198,0,0.17938618678768
5.4099999999999,499.35399755868,499.35399755868,0.18537582970325,0,0.18429690722609
5.4199999999999,-111.51515519317,-111.51515519317,0.18415057868582,0,0.18312164133741
5.4299999999999,-491.96392006671,-491.96392006671,0.17914227752143,0,0.17816206085967
5.4399999999999,74.915197255975,74.915197255975,0.17987574536517,0,0.17885075353681
5.4499999999999,509.42078874092,509.42078874092,0.18494035005207,0,0.18386243829855
5.4599999999999,-8.4098873152237,-8.4098873152237,0.18475294797339,0,0.18371387767378
5.4699999999999,-491.49328217736,-491.49328217736,0.17974097564444,0,0.17875816448263
5.4799999999999,-27.224187532641,-27.224187532641,0.17944540976355,0,0.1784296285804
5.4899999999999,498.60869475893,498.60869475893,0.18440937333693,0,0.18333433300328
5.4999999999999,91.725947572142,91.725947572142,0.18523160318226,0,0.18418305475448
5.5099999999999,-470.63158636129,-470.63158636129,0.18042162848768,0,0.17943431095495
5.5199999999999,-124.35363337433,-124.35363337433,0.17914584336553,0,0.17813828586467
5.5299999999999,468.093186402,468.093186402,0.18381026375333,0,0.18273976045325
5.5399999999999,184.90162579319,184.90162579319,0.1855736087987,0,0.18451659815266
5.5499999999999,-430.94853227024,-430.94853227024,0.18115580693294,0,0.18016233030443
5.5599999999999,-212.67700838635,-212.67700838635,0.1789869820548,0,0.17798638819443
5.5699999999999,419.81441274976,419.81441274976,0.18317219423516,0,0.18210767763422
5.5799999999999,267.55032314751,267.55032314751,0.18577204717329,0,0.18470794400269
5.5899999999999,-374.72786379948,-374.72786379948,0.18191387490102,0,0.18091293112132
5.5999999999999,-288.89187678977,-288.89187678977,0.17897264611717,0,0.17797753946572
5.6099999999999,356.37116544993,356.37116544993,0.18252489690047,0,0.18146755105771
5.6199999999999,336.66259282308,336.66259282308,0.18582612081678,0,0.18475655866916
5.6299999999999,-304.85021220255,-304.85021220255,0.18266626054822,0,0.1816569231458
5.6399999999999,-350.30761718602,-350.30761718602,0.17910060758509,0,0.17810937517327
5.6499999999999,280.89111767908,280.89111767908,0.18189743281301,0,0.18084815172663
5.6599999999999,389.88729732725,389.88729732725,0.18574095560135,0,0.18466776711416
5.6699999999999,-224.65375710587,-224.65375710587,0.18338465343242,0,0.18236640558058
5.6799999999999,-394.93194180322,-394.93194180322,0.17936289646515,0,0.17837384501588
5.6899999999999,196.88468648175,196.88468648175,0.18131703378224,0,0.18027633401913
5.6999999999999,425.60595075489,425.60595075489,0.1855271928,0,0.18445226104034
5.7099999999999,-137.77906959707,-137.77906959707,0.18404314812957,0,0.18301578642114
5.7199999999999,-421.52941068664,-421.52941068664,0.17974635149591,0,0.17875766030598
5.7299999999999,108.08738929605,108.08738929605,0.18080807199292,0,0.17977599435631
5.7399999999999,442.97345412255,442.97345412255,0.18520038778673,0,0.18412548870357
