step= 67  t= 6.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.39e-02s eTime= 2.37328e+00s
step= 68  t= 6.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.36e-02s eTime= 2.40686e+00s
step= 69  t= 6.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.42e-02s eTime= 2.44102e+00s
step= 70  t= 7.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.51e-02s eTime= 2.47608e+00s
step= 71  t= 7.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.42e-02s eTime= 2.51032e+00s
step= 72  t= 7.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.50e-02s eTime= 2.54530e+00s
step= 73  t= 7.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.46e-02s eTime= 2.57994e+00s
step= 74  t= 7.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.61e-02s eTime= 2.61607e+00s
step= 75  t= 7.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 2.64992e+00s
step= 76  t= 7.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.30e-02s eTime= 2.68293e+00s
step= 77  t= 7.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.36e-02s eTime= 2.71652e+00s
step= 78  t= 7.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.45e-02s eTime= 2.75106e+00s
step= 79  t= 7.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 2.78496e+00s
step= 80  t= 8.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.42e-02s eTime= 2.81918e+00s
step= 81  t= 8.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.41e-02s eTime= 2.85326e+00s
step= 82  t= 8.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.43e-02s eTime= 2.88760e+00s
step= 83  t= 8.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.49e-02s eTime= 2.92249e+00s
step= 84  t= 8.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.58e-02s eTime= 2.95827e+00s
step= 85  t= 8.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 2.99221e+00s
step= 86  t= 8.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.33e-02s eTime= 3.02549e+00s
step= 87  t= 8.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.31e-02s eTime= 3.05862e+00s
step= 88  t= 8.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.36e-02s eTime= 3.09218e+00s
step= 89  t= 8.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.41e-02s eTime= 3.12628e+00s
step= 90  t= 9.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.50e-02s eTime= 3.16129e+00s
step= 91  t= 9.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.43e-02s eTime= 3.19554e+00s
step= 92  t= 9.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.46e-02s eTime= 3.23014e+00s
